user_id,song_id,rating
U0001,0VjIjW4GlUZAMYd2vXMi3b,4
U0001,7qiZfU4dY1lWllzX7mPBI3,4
U0001,7MXVkk9YMctZqd1Srtv4MB,2
U0001,2TIlqbIneP0ZY1O0EzYLlc,4
U0001,2QjOHCTQ1Jl3zawyYOpxh6,5
U0001,4Dvkj6JhhA12EX05fT7y2e,4
U0001,3KkXRkHbMCARz0aVfEt68P,4
U0001,1zi7xx7UVEFkmKfv06H8x0,4
U0001,5HCyWlXZPP0y6Gqq8TgA20,2
U0001,0pqnGHJpmpxLKifKRmU6WP,5
U0001,3USxtqRwSYz57Ewm6wWRMp,4
U0001,7b4eqsDeLUzSrGth8uB2D1,3
U0001,7BKLCZ1jbUBVqRi2FVlTVw,4
U0001,6RUKPb4LETWmmr3iAEQktW,5
U0001,5XeFesFbtLpXzIVDNQP22n,5
U0001,2N8m6CYs74qQO4mjVcXO30,3
U0001,3AJwUDP919kvQ9QcozQPxg,3
U0001,3hRV0jL3vUpRrcy398teAU,4
U0001,7yq4Qj7cqayVTp3FF9CWbm,4
U0001,0e7ipj03S05BNilyu5bRzt,3
U0001,3dYD57lRAUcMHufyqn9GcI,5
U0001,0ch8PUB8JRTMJqmdmfY46U,3
U0001,6UelLqGlWMcVH1E5c4H7lY,4
U0001,1BxfuPKGuaTgP7aM0Bbdwr,4
U0001,22skzmqfdWrjJylampe0kt,4
U0001,79CzbTOcQbkkkjLCPyn19y,1
U0001,2LBqCSwhJGcFQeTHMVGwy3,4
U0001,21jGcNKet2qwijlDFuPiPb,5
U0001,6gBFPUFcJLzWGx4lenP6h2,3
U0001,1JSTJqkT5qHq8MDJnJbRE1,3
U0001,3z8h0TU7ReDPLIbEnYhWZb,4
U0001,2L8B3sLZ2GW6x5ajeiH8bS,2
U0001,6DCZcSspjsKoFjzjrWoCdn,3
U0001,1zB4vmk8tFRmM9UULNzbLB,5
U0001,3w3y8KPTfNeOKPiqUTakBh,5
U0001,5qaEfEh1AtSdrdrByCP7qR,5
U0001,003vvx7Niy0yvhvHt4a68B,4
U0001,3tSmXSxaAnU1EPGKa6NytH,4
U0001,1hewNsVmijBqjKvFRQfk4m,3
U0001,7fBv7CLKzipRk6EC6TWHOB,2
U0001,7lQ8MOhq6IN2w8EYcFNSUk,3
U0001,7KXjTSCq5nL1LoYtL7XAwS,1
U0001,5FVd6KXrgO9B3JPmC8OPst,5
U0001,68Dni7IE4VyPkTOH9mRWHr,3
U0001,0lYBSQXN6rCTvUZvg9S0lU,5
U0001,2pUpNOgJBIBCcjyQZQ00qU,5
U0001,3B54sVLJ402zGa6Xm4YGNe,3
U0001,3GCdLUSnKSMJhs4Tj6CV3s,3
U0001,3QGsuHI8jO1Rx4JWLUh9jd,4
U0001,4ml4WlnHDEpOK8HRVYTCWf,3
U0001,7KA4W4McWYRpgf0fWsJZWB,3
U0001,4CeeEOM32jQcH3eN9Q2dGj,2
U0001,75JFxkI2RXiU7L9VXzMkle,4
U0001,7JJmb5XwzOO8jgpou264Ml,4
U0001,4yBiZFLXn0n9AUJ5sWO88k,3
U0001,4ZtFanR9U6ndgddUvNcjcG,3
U0001,6zSpb8dQRaw0M1dK8PBwQz,3
U0001,5QO79kh1waicV47BqGRL3g,2
U0001,7BqHUALzNBTanL6OvsqmC1,4
U0001,0BxE4FqsDD1Ot4YuBXwAPp,4
U0001,2xLMifQCjDGFmkHkpNLD9h,2
U0001,4UKJUbcuStnnxLeJmVJsSc,4
U0001,4rmFRTmHa2bWUmMLIRVEXQ,3
U0001,5T8EDUDqKcs6OSOwEsfqG7,3
U0001,2nLtzopw4rPReszdYBJU6h,4
U0001,3ee8Jmje8o58CHK66QrVC2,3
U0001,7snQQk1zcKl8gZ92AnueZW,3
U0001,70LcF31zb1H0PyJoS1Sx1r,1
U0001,7m9OqQk4RVRkw9JJdeAw96,2
U0001,3bNv3VuUOKgrf5hu3YcuRo,4
U0001,2ekn2ttSfGqwhhate0LSR0,4
U0001,3EWaR09H3TkRgaLTIheYFr,2
U0001,1XGmzt0PVuFgQYYnV2It7A,3
U0001,1mXVgsBdtIVeCLJnSnmtdV,4
U0001,5Nm9ERjJZ5oyfXZTECKmRt,5
U0001,1rfofaqEpACxVEHIZBJe6W,4
U0001,4cktbXiXOapiLBMprHFErI,3
U0001,6FZDfxM3a3UCqtzo5pxSLZ,2
U0001,1lbXEepatjRVjoG8pZMtdp,1
U0001,7J1uxwnxfQLu4APicE5Rnj,2
U0001,4xkOaSrkexMciUUogZKVTS,3
U0001,5kqIPrATaCc2LqxVWzQGbk,4
U0001,43zdsphuZLzwA9k4DJhU0I,4
U0001,2gMXnyrvIjhVBUZwvLZDMP,4
U0001,7795WJLVKJoAyVoOtCWqXN,5
U0001,3yfqSUWxFvZELEM4PmlwIR,4
U0001,46IZ0fSY2mpAiktS3KOqds,4
U0001,2k1yPYf9WGA4LiqcLVwtzn,3
U0001,3S0OXQeoh0w6AY8WQVckRW,4
U0001,0vbtURX4qv1l7besfwmnD8,2
U0001,1DIXPcTDzTj8ZMHt3PDt8p,2
U0001,561jH07mF1jHuk7KlaeF0s,3
U0001,3P9bEWvIESZlqVj9DXKGR6,1
U0001,1qDrWA6lyx8cLECdZE7TV7,5
U0001,6sJ7lnREdD6I8UlVQiuDWZ,2
U0001,5YtjgewpB55VaDbGw45uqB,1
U0001,09mEdoA6zrmBPgTEN5qXmN,4
U0001,6qn9YLKt13AGvpq9jfO8py,4
U0001,4OSBTYWVwsQhGLF9NHvIbR,4
U0001,3a1lNhkSLSkpJE4MSHpDu9,2
U0001,1u8c2t2Cy7UBoG4ArRcF5g,4
U0001,3DarAbFujv6eYNliUTyqtz,2
U0001,1SKPmfSYaPsETbRHaiA18G,4
U0001,1tg0hS3Vw3HpKYD6FIGgDn,3
U0001,0JP9xo3adEtGSdUEISiszL,2
U0001,5cF0dROlMOK5uNZtivgu50,4
U0001,3d0WouFnFmr0K3kjeza3fF,3
U0001,4kbj5MwxO1bq9wjT5g9HaA,5
U0001,6ku3i5WNrsY3qhOq6ua9TL,4
U0001,086myS9r57YsLbJpU0TgK9,4
U0001,7dt6x5M1jzdTEt8oCbisTK,2
U0001,5DnT9a5IM3eMjKgXTWVJvi,1
U0001,4MagTPnkPiDuIa4P8GtW1b,4
U0001,5QDLhrAOJJdNAmCTJ8xMyW,4
U0001,6Sq7ltF9Qa7SNFBsV5Cogx,3
U0001,0FDzzruyVECATHXKHFs9eJ,4
U0001,2grjqo0Frpf2okIBiifQKs,2
U0001,3eekarcy7kvN4yt5ZFzltW,3
U0001,3di5hcvxxciiqwMH1jarhY,4
U0001,0mHoYdQ04Jd4XZ2n8VRNep,1
U0001,2eAvDnpXP5W0cVtiI0PUxV,5
U0001,0azC730Exh71aQlOt9Zj3y,4
U0001,3Lnf4aMMRSu80PqR5EWLza,2
U0001,3e9HZxeyfWwjeyPAMmWSSQ,3
U0001,4tcg6XoxZZ5q7njPUPlDrG,1
U0001,4jPy3l0RUwlUI9T5XHBW2m,1
U0001,4wDEMzcoKArzAcUesqULIT,2
U0001,5CZ40GBx1sQ9agT82CLQCT,4
U0001,1oAwsWBovWRIp7qLMGPIet,4
U0001,3e7sxremeOE3wTySiOhGiP,4
U0001,2zYzyRzz6pRmhPzyfMEC8s,2
U0001,6HU7h9RYOaPRFeh0R3UeAr,2
U0001,3HVWdVOQ0ZA45FuZGSfvns,4
U0001,0TDLuuLlV54CkRRUOahJb4,4
U0001,2qxmye6gAegTMjLKEBoR3d,4
U0001,3dhjNA0jGA8vHBQ1VdD6vV,4
