user_id,round_idx,song_id,track_name,rating
U0001,1,77dMSg2VHi2wwXjXNrmcrZ,Nena MaldiciÃ³n (feat. Lenny TavÃ¡rez),4
U0001,2,4I2ENHg65RuKifEHdD0kMu,Alors On Danse,5
U0001,3,2VOomzT6VavJOGBeySqaMc,Disturbia,2
U0001,4,1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,5
U0001,5,29XbgaYB4Hs8vlLmpzkRgj,Naive,3
U0001,6,7LRMbd3LEoV5wZJvXT1Lwb,T.N.T.,1
U0001,7,3j84U36KvLeXNDPv4t5pI8,Pure Water (with Migos),4
U0001,8,1almCHdsfikRPfVB9VrEdT,Little Do You Know,5
U0001,9,3s7MCdXyWmwjdcWh7GWXas,Violent Crimes,1
U0001,10,5jW3rF4URMdK7tO2xjS5EI,Tal Vez,3
U0001,11,01BLFXACRypODfqC7wUgWo,Body Like A Back Road,3
U0001,12,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),3
U0001,13,4T6FWA703h6H7zk1FoSARw,New Light,4
U0001,14,6CcJMwBtXByIz4zQLzFkKc,i love you,5
U0001,15,4l0RmWt52FxpVxMNni6i63,you broke me first,2
U0001,16,244AvzGQ4Ksa5637JQu5Gy,You've Got The Love,3
U0001,17,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,2
U0001,18,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall,Pt. 2",2
U0001,19,5txoZyuAmtCfmDjUCEphWm,Somebody To Love,3
U0001,20,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,2
U0002,1,5kqIPrATaCc2LqxVWzQGbk,7 Years,2
U0002,2,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),3
U0002,3,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,4
U0002,4,0afhq8XCExXpqazXczTSve,Galway Girl,3
U0002,5,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),1
U0002,6,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),1
U0002,7,18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,1
U0002,8,5yVIlYEHZxQVLyInCdldoS,Impossible,5
U0002,9,6etwirSInfuJrSOlogS6Sh,American Boy,1
U0002,10,2xql0pid3EUwW38AsywxhV,Reflections,2
U0002,11,0RLLvYBopDwooCyvnTwgYu,F.N,3
U0002,12,1xK1Gg9SxG8fy2Ya373oqb,Bandido,3
U0002,13,0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,1
U0002,14,6ek9SiEj5a65WIs2EV7qiM,Son Of A Preacher Man,3
U0002,15,7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,4
U0002,16,4ZtFanR9U6ndgddUvNcjcG,good 4 u,5
U0002,17,5YglDyAzDsnpDa6hlGzltg,Low,5
U0002,18,1JBgWfT7LtGDVqkZLnTIUr,I Love It,4
U0002,19,3M214U0mwSm041GsQR3nrO,Toxic,5
U0002,20,0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,3
U0003,1,1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),4
U0003,2,0xsItSF5TNi5JOJTvaAoaX,telepatía,3
U0003,3,25t8tJRkbWyNGnbuVdIwwF,Best Day Of My Life,3
U0003,4,1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),2
U0003,5,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),5
U0003,6,2AT8iROs4FQueDv2c8q2KE,R U Mine?,5
U0003,7,29XbgaYB4Hs8vlLmpzkRgj,Naive,2
U0003,8,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,4
U0003,9,6habFhsOp2NvshLv26DqMb,Despacito,4
U0003,10,3GZD6HmiNUhxXYf8Gch723,Lost,3
U0003,11,1000nHvUdawXuUHgBod4Wv,Panini,2
U0003,12,1prZ0pr6XoRCxcrC3MCL0M,Everywhere,3
U0003,13,7vu0JkJh0ldukEYbTVcqd0,Issues,3
U0003,14,1pjvlYOMIg1NhGQbM6iwrY,Light It Up (feat. Nyla & Fuse ODG) [Remix],4
U0003,15,6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),3
